# 04. Optimal (Up to date)
# 3972 data points written for 54 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Listeners modified the flight simulation
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-7.686440845083187e-4,-0.046854357952745,-4.684780097517654,0.046854357952745,4.684780097517654,0,0,0,0,0,0,28.610000000000003,-80.6,9.792177302472455,91.30773755689658,0,0,0,1.403258796702923e4,4633.396485069301,11.867321903025521,0.054062879423594,NaN,1761.10560309901,NaN,0.006031347467599,3.969377150541921e5,71.67,-5.610874753429726e-7,0.399775170090425,-1.179065095378168e-5,0.316784462067603,9.020263902681648e-7,0.082989805996432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.998991661834992e-6,153.2,184.33483390497324,90,0,2.052468997222775,15,1013.25,340.3889,0.01,0.0163969
0.02,9.073697366600474e-4,0.055319818521679,5.533949816647649,0.055319818521679,5.533949816647649,0,0,0,0,0,0,28.610000000000003,-80.6,9.792177303192636,88.44984315505938,0,0,0,1.402898445209853e4,4629.792970138605,11.865070733598916,0.054060345702159,NaN,1760.9087453961977,NaN,0.006007659742341,3.953787584737219e5,215.01,9.24874952351117e-7,0.399778058420041,1.958882035968462e-5,0.316843291859854,8.943519141120848e-7,0.082933872208273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.082865663848155e-6,153.2,184.33483390497324,90,0,2.044192290809129,14.999998202105928,1013.2499675595623,340.3888989104762,0.01,0.0199846
0.03,0.005306568951736,0.212866297834446,15.757927265120562,0.212866297834446,15.757927265120562,0,0,0,0,0,0,28.610000000000003,-80.6,9.792177301622294,84.03109491187483,0,0,0,1.402538093716784e4,4626.189455207907,11.862818476284367,0.054057811980723,NaN,1760.711786536821,NaN,0.006013749428197,3.957794894805559e5,358.35,5.046695988980323e-5,0.399777315882722,0.001066725003191,0.316828148624226,8.96321524146394e-7,0.082948270936972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.725430893524515e-5,153.2,184.33483390497324,90,0,2.035915584395483,14.999989486270238,1013.2498102947217,340.38889362867974,0.01,0.0227456
0.04,0.01655235089182,0.472691835653992,25.98713038779679,0.472691835653992,25.98713038779679,0,0,0,0,0,0,28.610000000000003,-80.6,9.792177297500464,76.87733767004198,0,0,0,1.402177742223714e4,4622.585940277209,11.860565130243135,0.054055278259287,NaN,1760.5147264428906,NaN,0.006116556821378,4.025453744603811e5,501.69000000000005,5.113150232265746e-4,0.399764780207165,0.010447459237556,0.316574638833213,9.299223048351239e-7,0.083189211451646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.052103975211035e-5,153.2,184.33483390497324,90,0,2.027638877981837,14.99996720598574,1013.2494082787224,340.38888012682736,0.01,0.0250779
0.05,0.038001181615313,0.834848356311713,36.22148279273131,0.834848356311713,36.22148279273131,0,0,0,0,0,0,28.610000000000003,-80.6,9.792177286963723,67.53873039612755,0,0,0,1.401817390730644e4,4618.982425346512,11.858310694635612,0.054052744537852,NaN,1760.3175650363362,NaN,0.006419512580777,4.224833846741261e5,645.03,0.002510891151057,0.399727839720781,0.046575794206169,0.31585034893498,1.032783285781829e-6,0.083876458002514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.068897073669999e-4,153.2,184.33483390497324,90,0,2.019362171568191,14.999924711424455,1013.2486415248915,340.3888543751232,0.01,0.0267935
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.073011214422897,1.29938667992229,46.46084218229919,1.29938667992229,46.46084218229919,0,0,0,0,0,0,28.610000000000003,-80.6,9.792177266867231,57.31339869657286,0,0,0,1.401457039237575e4,4615.378910415815,11.856055168621332,0.054050210816416,NaN,1760.1203022390075,NaN,0.007068616350371,4.652020157936305e5,788.3700000000001,0.008099145975447,0.39964869216138,0.12391030771822,0.314401379826679,1.272643074927508e-6,0.085246039691627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.663668178344861e-4,153.2,184.33483390497324,90,0,2.025044434334246,14.999855349416919,1013.2473899862607,340.38881234174664,0.01,0.0283742
0.07,0.124942243784598,1.866355960635373,56.70502340863209,1.866355960635373,56.70502340863209,0,0,0,0,0,0,28.610000000000003,-80.6,9.792177234064566,47.41518133713636,0,0,0,1.401096687744505e4,4611.775395485117,11.853798551358961,0.054047677094981,NaN,1759.922937972674,NaN,0.008102805135617,5.33263642274655e5,931.71,0.019924352359813,0.399522589799716,0.231980379596566,0.312333493089022,1.710351920444711e-6,0.087187386358773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.389586627587466e-4,153.2,184.33483390497324,90,0,2.030726697100301,14.999752463540972,1013.2455335571757,340.3887499929058,0.01,0.0307788
0.08,0.197155646118284,2.535803483224168,66.95384335436208,2.535803483224168,66.95384335436208,0,0,0,0,0,0,28.610000000000003,-80.6,9.792177185407766,38.76664298106235,0,0,0,1.400736336251435e4,4608.17188055442,11.851540842006301,0.054045143373545,NaN,1759.725472159023,NaN,0.009554578632932,6.288068856507826e5,1075.0500000000002,0.040603672454263,0.399345569830804,0.340001771932718,0.309814450662008,2.441980016238075e-6,0.089528677188779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.246712944447397e-4,153.2,184.33483390497324,90,0,2.036408959866356,14.99960939423812,1013.2429520753867,340.3886632929083,0.01,0.032255
0.09,0.293014320651351,3.307774840943831,77.20714743888546,3.307774840943831,77.20714743888546,0,0,0,0,0,0,28.610000000000003,-80.6,9.792177117747388,31.68956288413837,0,0,0,1.400375984758365e4,4604.568365623722,11.849282039720283,0.054042609652109,NaN,1759.527904719664,NaN,0.011420339807043,7.515946396452397e5,1218.3899999999999,0.072352006926308,0.399118070854104,0.424065506519145,0.30705680754097,3.587307061413742e-6,0.092057676006073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.235105502268771e-4,153.2,184.33483390497324,90,0,2.042091222632411,14.999419478930974,1013.2395253241739,340.38854820423217,0.01,0.0336696
