# 04. Optimal (Up to date)
# 3959 data points written for 54 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Listeners modified the flight simulation
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0.01,-7.687007874015748e-4,-0.047,-4.685,0.047,4.685,0,0,0,0,0,0,28.590593977028078,-80.61516177490682,9.792,91.21488098482706,0,0,0,1.4034e4,4633,11.866,0.054,NaN,1760.9999999999998,NaN,0.007,4.293e5,71.67,-5.193e-7,0.4,-9.328e-6,0.316,1.069e-6,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.999e-6,153,179.99999999999997,90.01166961505233,0,2.22,15,1013,340.389,0.01,0.001
0.02,9.071522309711286e-4,0.055,5.533,0.055,5.533,0,0,0,0,0,0,28.590593977028078,-80.61516177490682,9.792,88.57927512722527,0,0,0,1.403e4,4630,11.864,0.054,NaN,1760.9999999999998,NaN,0.007,4.317e5,215.01,8.475e-7,0.4,1.506e-5,0.316,1.082e-6,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.081e-6,153,179.99999999999997,90.01166961505233,0,2.232,15,1013,340.389,0.01,0.002
0.03,0.006561679790026,0.213,15.756,0.213,15.756,0,0,0,0,0,0,28.590593977028078,-80.61516177490682,9.792,84.5685705613095,0,0,0,1.4026e4,4626,11.861,0.054,NaN,1760.9999999999998,NaN,0.007,4.359e5,358.35,4.603e-5,0.4,8.022e-4,0.315,1.105e-6,0.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.725e-5,153,179.99999999999997,90.01166961505233,0,2.244,15,1013,340.389,0.01,0.002
0.04,0.016404199475066,0.473,25.984,0.473,25.984,0,0,0,0,0,0,28.590593977028078,-80.61516177490682,9.792,78.1514432558443,0,0,0,1.4023e4,4623,11.859,0.054,NaN,1760.9999999999998,NaN,0.007,4.457e5,501.69,4.663e-4,0.4,0.008,0.315,1.16e-6,0.085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.051e-5,153,179.99999999999997,90.01166961505233,0,2.256,15,1013,340.389,0.01,0.003
0.05,0.039370078740157,0.835,36.218,0.835,36.218,0,0,0,0,0,0,28.590593977028078,-80.61516177490682,9.792,69.78625944693427,0,0,0,1.4019e4,4619,11.857,0.054,NaN,1760,NaN,0.007,4.673e5,645.03,0.002,0.4,0.035,0.314,1.285e-6,0.085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.069e-4,153,179.99999999999997,90.01166961505233,0,2.268,15,1013,340.389,0.01,0.003
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.072178477690289,1.299,46.457,1.299,46.457,0,0,0,0,0,0,28.590593977028078,-80.61516177490682,9.792,60.275160047762604,0,0,0,1.4016e4,4615,11.855,0.054,NaN,1760,NaN,0.008,5.07e5,788.37,0.008,0.4,0.097,0.313,1.533e-6,0.086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.663e-4,153,179.99999999999997,90.01166961505233,0,2.278,15,1013,340.389,0.01,0.003
0.07,0.124671916010499,1.866,56.7,1.866,56.7,0,0,0,0,0,0,28.590593977028078,-80.61516177490682,9.792,50.764060648590934,0,0,0,1.4012e4,4612,11.852,0.054,NaN,1760,NaN,0.009,5.707e5,931.71,0.019,0.399,0.192,0.311,1.981e-6,0.088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.389e-4,153,179.99999999999997,90.01166961505233,0,2.287,15,1013,340.389,0.01,0.004
0.08,0.196850393700787,2.536,66.948,2.536,66.948,0,0,0,0,0,0,28.590593977028078,-80.61516177490682,9.792,42.16969372162859,0,0,0,1.4008e4,4608,11.85,0.054,NaN,1760,NaN,0.01,6.614e5,1075.05,0.039,0.399,0.297,0.309,2.723e-6,0.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.246e-4,153,179.99999999999997,90.01166961505233,0,2.296,15,1013,340.389,0.01,0.004
0.09,0.291994750656168,3.307,77.201,3.307,77.201,0,0,0,0,0,0,28.590593977028078,-80.61516177490682,9.792,34.89312972346713,0,0,0,1.4005e4,4605,11.848,0.054,NaN,1760,NaN,0.012,7.795e5,1218.39,0.071,0.399,0.387,0.306,3.88e-6,0.093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.235e-4,153,179.99999999999997,90.01166961505233,0,2.305,14.999000000000024,1013,340.389,0.01,0.004
