Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,30.9445,0,0,69.3425,84.19028,2.461706,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.4024099,0,32.22412,30.9445,0,0,69.326,84.19028,2.46444,1.33046754324701,1.33046754196194,0.0000584763255775068,6.56322503430997,0.01330468,0.0000005847633,89.9999,89.9999,0.0000665234,0.000000002923817
0.02,S,0.02,0.010,0,0.4024099,0,64.44825,30.94371,0.004087711,0,69.30951,84.19028,2.467175,34.8324036494412,34.8324036492449,0.000116948233800596,6.57316791998142,0.3616287,0.000001754246,89.9999,89.9999,0.00194119,0.00000001461886
0.03,S,0.03,0.010,0,0.4024099,0,96.67237,30.94132,0.004100105,0,69.29301,84.19028,2.46991,68.3454579189724,68.3454579187472,0.00017543954517282,6.64589969029292,1.045083,0.000003508641,89.9999,89.9999,0.008974749,0.0000000409333
0.04,S,0.04,0.010,0,0.4024099,0,128.8965,30.93735,0.004191343,0,69.27653,84.19028,2.472644,101.87048077289,101.870480772621,0.000233951747403465,6.88004620878362,2.063788,0.000005848158,89.9999,89.9999,0.0245191,0.00000008771729
0.05,S,0.05,0.010,0,0.4024099,0,161.1206,30.93179,0.00449188,0,69.26003,84.19028,2.475379,135.41250060085,135.412500600534,0.000292493613244843,7.39986368763736,3.417913,0.000008773094,89.9999,89.9999,0.05192761,0.0000001608235
0.05999999,S,0.05999999,0.010,0,0.4024099,0,193.3447,30.92464,0.005196278,0,69.24354,84.19028,2.478113,168.97650314027,168.976503139905,0.000351073847912456,8.31650611466163,5.107678,0.00001228383,89.9999,89.9999,0.09455556,0.0000002661081
0.06999999,S,0.06999999,0.010,0,0.4024099,0,225.5688,30.9159,0.006563363,0,69.22704,84.19028,2.480848,202.567369184074,202.56736918366,0.00040970096649599,9.69333016418604,7.133351,0.00001638084,89.9999,89.9999,0.1557607,0.0000004094315
0.07999999,S,0.07999999,0.010,0,0.4024098,0,257.793,30.90557,0.008916404,0,69.21055,84.19028,2.483582,236.190019302663,236.190019302199,0.000468383560512311,11.5427815632952,9.495251,0.00002106468,89.9999,89.9999,0.2389037,0.0000005966591
0.08999999,S,0.08999999,0.01033887,0,0.4030624,0,290.0171,30.89366,0.0126639,0,69.19405,84.19028,2.486317,269.849236705033,269.849236704518,0.000527129974770753,13.8478655050556,12.19374,0.00002633598,89.9999,89.9999,0.3473487,0.0000008336624
0.09999999,S,0.09999999,0.01240354,0,0.405143,0,322.2412,30.88015,0.01832092,0,69.17756,84.19028,2.489052,303.549684006428,303.549684005862,0.000585948347030043,16.5833021968026,15.22924,0.00003219546,89.9999,89.9999,0.4844636,0.00000112632
