# Time (s),CP location (mm),CG location (mm),Stability margin calibers (​)
0.01,NaN,1760.9999999999998,NaN
0.02,NaN,1760.9999999999998,NaN
0.03,NaN,1760.9999999999998,NaN
0.04,NaN,1760.9999999999998,NaN
0.05,NaN,1760,NaN
0.06,NaN,1760,NaN
0.07,NaN,1760,NaN
0.08,NaN,1760,NaN
0.09,NaN,1760,NaN
0.1,NaN,1758.9999999999998,NaN
0.11,NaN,1758.9999999999998,NaN
0.12,NaN,1758.9999999999998,NaN
0.13,NaN,1758,NaN
0.14,NaN,1758,NaN
0.15,NaN,1756.9999999999998,NaN
0.16,NaN,1756.9999999999998,NaN
0.17,NaN,1756,NaN
0.18,NaN,1756,NaN
0.19,NaN,1754.9999999999998,NaN
0.2,NaN,1754.9999999999998,NaN
0.21,NaN,1754,NaN
0.219,NaN,1754,NaN
0.227,NaN,1752.9999999999998,NaN
0.239,2013.9999999999998,1752.9999999999998,1.704
0.258,2024.9999999999998,1752,1.783
0.286,2037.9999999999998,1750,1.878
0.329,2053,1748,1.993
0.379,2065,1745,2.086
0.429,2076,1743,2.177
0.479,2087,1740,2.267
0.529,2096,1738,2.339
0.579,2107,1735,2.427
0.629,2116,1733,2.502
0.679,2125,1730,2.579
0.729,2134.9999999999995,1728,2.661
0.779,2134.9999999999995,1725,2.678
0.829,2128,1722,2.646
0.879,2122,1720,2.628
0.929,2119,1717,2.621
0.979,2118,1715,2.63
1.029,2119,1712,2.658
1.079,2123,1709,2.702
1.129,2129,1707,2.754
1.179,2137,1704,2.828
1.229,2141,1701,2.867
1.279,2133,1699,2.836
1.329,2130,1696,2.832
1.379,2130.9999999999995,1693,2.855
1.429,2134.9999999999995,1691,2.901
1.479,2142,1688,2.962
1.529,2146,1685,3.006
1.579,2140,1682,2.99
1.629,2138.9999999999995,1679,2.999
1.679,2142,1677,3.039
1.729,2146.9999999999995,1674,3.09
1.779,2150.9999999999995,1671,3.13
1.829,2148,1668,3.133
1.879,2148,1665,3.152
1.929,2150,1663,3.183
1.979,2154,1659.9999999999998,3.226
2.029,2154.9999999999995,1657,3.249
2.079,2154,1655,3.258
2.129,2156,1651.9999999999998,3.287
2.179,2160,1649.9999999999998,3.335
2.229,2160,1647,3.347
2.279,2160,1643.9999999999998,3.366
2.329,2162.9999999999995,1641.9999999999998,3.405
2.379,2165,1639,3.432
2.429,2165,1635.9999999999998,3.45
2.479,2168,1633.9999999999998,3.487
2.529,2169,1631,3.514
2.579,2170,1629,3.532
2.629,2172,1625.9999999999998,3.559
2.679,2174,1624,3.588
2.729,2174,1622,3.603
2.779,2176,1619,3.632
2.829,2177,1617,3.659
2.879,2178,1614,3.676
2.929,2179,1612,3.702
2.979,2180,1610,3.727
3.029,2181,1607,3.744
3.079,2183,1605,3.773
3.129,2182,1603,3.783
3.179,2185,1601,3.815
3.229,2185,1599,3.825
3.279,2186,1596,3.847
3.329,2187,1594,3.87
3.379,2187,1592,3.882
3.429,2189,1590,3.908
3.479,2189,1589,3.916
